Model,DPO2012B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,3.2e-07,
Filter Frequency,1e+08,
Record Length,125000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.01,0.1
Label,,
TIME,CH1,CH2
-1.98451e-02,0.0517062,0.326141
-1.98448e-02,0.0509516,0.321938
-1.98445e-02,0.0513031,0.323875
-1.98442e-02,0.0512141,0.323547
-1.98438e-02,0.0509906,0.322125
-1.98435e-02,0.0517266,0.322594
-1.98432e-02,0.0513187,0.323781
-1.98429e-02,0.0514156,0.323234
-1.98426e-02,0.0512016,0.322641
-1.98422e-02,0.0515687,0.324266
-1.98419e-02,0.0516375,0.322484
-1.98416e-02,0.0515625,0.323922
-1.98413e-02,0.0516937,0.321063
-1.98410e-02,0.0517266,0.321641
-1.98406e-02,0.0517344,0.324906
-1.98403e-02,0.0513672,0.320531
-1.98400e-02,0.0515516,0.322469
-1.98397e-02,0.0513687,0.323375
-1.98394e-02,0.0515,0.324469
-1.98390e-02,0.0516969,0.325609
-1.98387e-02,0.0516391,0.321547
-1.98384e-02,0.051475,0.328031
-1.98381e-02,0.0515781,0.324438
-1.98378e-02,0.0514453,0.323953
-1.98374e-02,0.0517828,0.325906
-1.98371e-02,0.0513,0.322813
-1.98368e-02,0.0517828,0.327234
-1.98365e-02,0.0514125,0.323344
-1.98362e-02,0.0514516,0.326297
-1.98358e-02,0.0520516,0.325516
-1.98355e-02,0.0517859,0.323828
-1.98352e-02,0.0512437,0.327094
-1.98349e-02,0.0517234,0.323094
-1.98346e-02,0.0515344,0.326688
-1.98342e-02,0.0513203,0.324219
-1.98339e-02,0.0517094,0.327281
-1.98336e-02,0.0512594,0.322953
-1.98333e-02,0.0515266,0.325688
-1.98330e-02,0.0512672,0.32525
-1.98326e-02,0.0516719,0.322531
-1.98323e-02,0.0515266,0.323281
-1.98320e-02,0.0515328,0.322516
-1.98317e-02,0.0511891,0.324406
-1.98314e-02,0.0510453,0.323406
-1.98310e-02,0.0512453,0.32725
-1.98307e-02,0.0517141,0.322719
-1.98304e-02,0.0512984,0.326031
-1.98301e-02,0.0515078,0.322781
-1.98298e-02,0.0512406,0.321984
-1.98294e-02,0.0518391,0.325594
-1.98291e-02,0.0516109,0.322344
-1.98288e-02,0.0516391,0.320297
-1.98285e-02,0.0517516,0.324984
-1.98282e-02,0.0517031,0.317828
-1.98278e-02,0.0516828,0.325359
-1.98275e-02,0.0517078,0.319938
-1.98272e-02,0.0514172,0.323984
-1.98269e-02,0.0511031,0.324047
-1.98266e-02,0.0514719,0.321734
-1.98262e-02,0.0512359,0.321625
-1.98259e-02,0.0513484,0.323719
-1.98256e-02,0.0508141,0.322422
-1.98253e-02,0.0511656,0.323594
-1.98250e-02,0.0512594,0.326031
-1.98246e-02,0.0511094,0.323594
-1.98243e-02,0.0512578,0.323063
-1.98240e-02,0.0515203,0.325828
-1.98237e-02,0.0516062,0.321469
-1.98234e-02,0.0520266,0.325016
-1.98230e-02,0.0520203,0.322531
-1.98227e-02,0.0516406,0.323953
-1.98224e-02,0.0514703,0.325984
-1.98221e-02,0.0520875,0.322594
-1.98218e-02,0.0516141,0.326875
-1.98214e-02,0.0517906,0.324766
-1.98211e-02,0.0518578,0.325344
-1.98208e-02,0.0514125,0.322
-1.98205e-02,0.0515484,0.328328
-1.98202e-02,0.0515125,0.326578
-1.98198e-02,0.0515219,0.323547
-1.98195e-02,0.0512844,0.3265
-1.98192e-02,0.0515391,0.327313
-1.98189e-02,0.0512016,0.324969
-1.98186e-02,0.0515953,0.325906
-1.98182e-02,0.0515844,0.323391
-1.98179e-02,0.0514578,0.324531
-1.98176e-02,0.0516125,0.323703
-1.98173e-02,0.0517953,0.323422
-1.98170e-02,0.0516484,0.321859
-1.98166e-02,0.0516328,0.325516
-1.98163e-02,0.0513828,0.323516
-1.98160e-02,0.0515187,0.322109
-1.98157e-02,0.0517203,0.323766
-1.98154e-02,0.0511672,0.323688
-1.98150e-02,0.0515891,0.323969
-1.98147e-02,0.0514844,0.322469
-1.98144e-02,0.0516437,0.32275
-1.98141e-02,0.0516234,0.3215
-1.98138e-02,0.0514,0.322719
-1.98134e-02,0.0518359,0.322688
-1.98131e-02,0.0512859,0.323672
-1.98128e-02,0.0514062,0.32375
-1.98125e-02,0.0515172,0.320203
-1.98122e-02,0.0511187,0.323641
-1.98118e-02,0.0516125,0.324141
-1.98115e-02,0.0512687,0.320547
-1.98112e-02,0.0518719,0.324625
-1.98109e-02,0.0515875,0.322031
-1.98106e-02,0.0518562,0.323734
-1.98102e-02,0.0516125,0.321234
-1.98099e-02,0.0519187,0.324422
-1.98096e-02,0.0513609,0.321859
-1.98093e-02,0.0516203,0.322984
-1.98090e-02,0.0518766,0.321984
-1.98086e-02,0.0518891,0.324625
-1.98083e-02,0.0514172,0.325078
-1.98080e-02,0.0514828,0.321359
-1.98077e-02,0.0518203,0.324281
-1.98074e-02,0.0514937,0.325438
-1.98070e-02,0.0519297,0.322328
-1.98067e-02,0.0513266,0.327031
-1.98064e-02,0.0516531,0.323781
-1.98061e-02,0.0517391,0.322594
-1.98058e-02,0.0516328,0.326297
-1.98054e-02,0.0510422,0.323813
-1.98051e-02,0.0513781,0.326344
-1.98048e-02,0.0516328,0.324344
-1.98045e-02,0.0512766,0.325938
-1.98042e-02,0.0515953,0.323156
-1.98038e-02,0.0513312,0.327813
-1.98035e-02,0.0516875,0.321281
-1.98032e-02,0.05205,0.323953
-1.98029e-02,0.0513125,0.325484
-1.98026e-02,0.0514109,0.321141
-1.98022e-02,0.0511078,0.325516
-1.98019e-02,0.0516625,0.324969
-1.98016e-02,0.0512719,0.327188
-1.98013e-02,0.0513781,0.325109
-1.98010e-02,0.0512141,0.325609
-1.98006e-02,0.0515312,0.322656
-1.98003e-02,0.0517078,0.322953
-1.98000e-02,0.0515547,0.325266
-1.97997e-02,0.051375,0.322875
-1.97994e-02,0.0513062,0.324813
-1.97990e-02,0.05165,0.325359
-1.97987e-02,0.0513219,0.322266
-1.97984e-02,0.0519906,0.323063
-1.97981e-02,0.0515547,0.322391
-1.97978e-02,0.0518812,0.321172
-1.97974e-02,0.0517984,0.322203
-1.97971e-02,0.0517187,0.322047
-1.97968e-02,0.0516875,0.321328
-1.97965e-02,0.0516641,0.322344
-1.97962e-02,0.0524672,0.322438
-1.97958e-02,0.051225,0.323531
-1.97955e-02,0.0510203,0.325438
-1.97952e-02,0.05155,0.317594
-1.97949e-02,0.0512281,0.318469
-1.97946e-02,0.0514266,0.327016
-1.97942e-02,0.0512812,0.320781
-1.97939e-02,0.0518719,0.323109
-1.97936e-02,0.0515578,0.324813
-1.97933e-02,0.0518672,0.323406
-1.97930e-02,0.0513687,0.324578
-1.97926e-02,0.0511125,0.325141
-1.97923e-02,0.0515016,0.323094
-1.97920e-02,0.0511609,0.325125
-1.97917e-02,0.0513453,0.326453
-1.97914e-02,0.0520875,0.320469
-1.97910e-02,0.0517047,0.327375
-1.97907e-02,0.0518609,0.323719
