Data run started at:  Tuesday, October 10, 2017	4:39:42 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
10.798307	1.011878	0.250686	258.736000
10.819962	1.003962	0.251068	259.236000
10.843932	0.995617	0.251376	259.737000
10.864181	0.986060	0.251880	260.236000
10.882428	0.975411	0.252687	260.736000
10.901924	0.965290	0.253445	261.236000
10.926095	0.956175	0.254029	261.736000
10.948015	0.946494	0.254668	262.236000
10.972253	0.935425	0.255270	262.737000
10.996622	0.924386	0.255790	263.236000
11.017624	0.913456	0.256265	263.736000
11.038022	0.902475	0.256975	264.236000
11.059120	0.891407	0.257544	264.737000
11.080369	0.879868	0.258072	265.237000
11.104924	0.867638	0.258629	265.736000
11.137443	0.854835	0.259350	266.236000
11.151960	0.842712	0.259921	266.736000
11.168574	0.831106	0.260500	267.236000
11.186457	0.819070	0.261248	267.736000
11.208174	0.806681	0.261952	268.236000
11.232629	0.793886	0.262118	268.736000
11.254373	0.780941	0.262490	269.236000
11.278063	0.768868	0.263051	269.736000
11.296442	0.757025	0.263831	270.236000
11.318504	0.746340	0.264276	270.736000
11.339794	0.735364	0.264812	271.236000
11.360832	0.724266	0.265217	271.736000
11.382247	0.713307	0.265449	272.236000
11.404035	0.702969	0.265583	272.736000
11.427324	0.693061	0.265893	273.236000
11.447318	0.683946	0.266179	273.736000
11.469055	0.675827	0.266580	274.236000
11.489368	0.669446	0.266962	274.736000
11.510101	0.664744	0.267792	275.236000
11.532896	0.661104	0.268139	275.736000
11.554717	0.658607	0.268317	276.236000
11.577667	0.656436	0.268599	276.736000
11.598814	0.655705	0.268988	277.236000
11.618170	0.656942	0.269360	277.736000
11.640428	0.660966	0.269952	278.237000
11.662118	0.667264	0.270196	278.736000
11.683707	0.675242	0.270251	279.236000
11.705309	0.684638	0.270615	279.737000
11.727532	0.695428	0.270912	280.236000
11.748813	0.707569	0.271256	280.736000
11.771012	0.720813	0.271523	281.236000
11.792721	0.735690	0.271596	281.736000
11.814705	0.751906	0.272097	282.236000
11.837030	0.770028	0.272463	282.736000
11.859348	0.789638	0.272550	283.236000
11.881134	0.810163	0.272659	283.736000
11.905386	0.831198	0.272989	284.236000
11.925586	0.852619	0.273497	284.736000
11.948935	0.873981	0.273940	285.236000
11.969722	0.896345	0.274404	285.736000
11.991021	0.920074	0.275035	286.236000
12.014535	0.944394	0.275722	286.736000
12.035459	0.968277	0.276104	287.236000
12.057122	0.991784	0.276703	287.736000
12.077737	1.015733	0.277264	288.236000
12.100314	1.039175	0.277586	288.736000
12.122449	1.062491	0.277592	289.236000
12.146509	1.085024	0.277984	289.736000
12.168811	1.107738	0.278331	290.236000
12.189471	1.130373	0.278643	290.736000
12.212570	1.153021	0.279166	291.236000
12.234619	1.176271	0.279817	291.736000
12.256892	1.199140	0.280256	292.236000
12.280377	1.221906	0.280654	292.736000
12.301492	1.244606	0.281503	293.236000
12.322516	1.265721	0.282237	293.736000
12.343253	1.285922	0.282560	294.236000
12.365234	1.305289	0.283108	294.736000
12.387966	1.323935	0.283649	295.237000
12.411661	1.342581	0.284147	295.736000
12.433867	1.361111	0.284607	296.236000
12.455155	1.379769	0.285087	296.736000
12.477345	1.397759	0.285775	297.236000
12.499844	1.415624	0.286460	297.736000
12.524969	1.432712	0.287180	298.236000
12.548795	1.449114	0.287611	298.736000
12.570943	1.464696	0.288003	299.237000
12.593056	1.480462	0.288497	299.736000
12.615125	1.495270	0.289023	300.236000
12.636802	1.509903	0.289206	300.736000
12.659590	1.524394	0.289339	301.236000
12.682517	1.538033	0.289830	301.736000
12.706059	1.551296	0.290423	302.236000
12.728195	1.564949	0.290520	302.736000
12.752008	1.578315	0.291193	303.236000
12.774808	1.590280	0.292092	303.736000
12.797394	1.601746	0.293040	304.236000
12.818515	1.612781	0.293269	304.736000
12.840074	1.623508	0.293670	305.236000
12.862708	1.633387	0.294197	305.736000
12.887241	1.642626	0.294690	306.236000
12.910429	1.651529	0.295312	306.736000
12.932097	1.660745	0.295758	307.236000
12.953789	1.669702	0.296073	307.736000
12.974582	1.677701	0.296767	308.236000
12.996359	1.685515	0.297253	308.736000
13.019950	1.692319	0.297912	309.237000
13.041921	1.698181	0.298077	309.736000
13.063914	1.703482	0.298447	310.236000
13.085678	1.709644	0.298998	310.736000
13.107233	1.716345	0.299625	311.236000
13.129174	1.721815	0.300480	311.736000
13.152713	1.725554	0.301159	312.236000
13.175830	1.728792	0.301553	312.736000
13.198636	1.732706	0.301977	313.236000
13.220129	1.736358	0.302670	313.736000
13.241995	1.740092	0.303319	314.236000
13.266061	1.743245	0.303875	314.736000
13.289568	1.744952	0.304546	315.236000
13.312149	1.745508	0.304965	315.736000
13.334618	1.746240	0.305281	316.236000
13.357804	1.747378	0.305713	316.736000
13.382504	1.748188	0.306172	317.236000
13.404808	1.748262	0.306696	317.736000
13.425986	1.747434	0.307274	318.236000
13.448114	1.746241	0.308012	318.736000
13.472299	1.744805	0.308650	319.236000
13.495997	1.743596	0.309393	319.736000
13.517421	1.741972	0.309829	320.236000
13.538875	1.739549	0.310249	320.736000
13.561608	1.736436	0.310858	321.236000
13.584001	1.733526	0.311502	321.737000
13.607858	1.730711	0.312192	322.236000
13.630841	1.726376	0.312921	322.737000
13.653295	1.721130	0.313670	323.236000
13.676202	1.715925	0.314320	323.736000
13.697983	1.711210	0.314517	324.236000
13.721948	1.705566	0.314717	324.736000
13.744115	1.698695	0.315175	325.236000
13.765912	1.691670	0.315962	325.736000
13.786824	1.684261	0.316881	326.236000
13.808743	1.676704	0.317399	326.736000
13.830283	1.668746	0.317668	327.236000
13.853047	1.660544	0.317934	327.736000
13.876901	1.652262	0.318341	328.236000
13.898538	1.643708	0.319014	328.736000
13.919958	1.634768	0.319813	329.236000
13.941954	1.625075	0.320809	329.736000
13.964304	1.614946	0.321720	330.236000
13.986337	1.605556	0.322607	330.736000
14.008651	1.595089	0.323434	331.236000
14.029028	1.583554	0.323964	331.736000
14.051246	1.572494	0.324580	332.236000
14.073470	1.561993	0.324792	332.737000
14.096005	1.550446	0.325053	333.236000
14.118054	1.538655	0.325621	333.736000
14.141766	1.527092	0.326347	334.236000
14.164612	1.516384	0.326722	334.736000
14.186596	1.504337	0.327216	335.236000
14.208484	1.491712	0.327974	335.736000
14.231831	1.479023	0.328640	336.236000
14.256420	1.466465	0.329350	336.736000
14.279297	1.454135	0.329975	337.236000
14.300748	1.441189	0.330576	337.736000
14.323810	1.428300	0.331166	338.236000
14.345444	1.416049	0.332367	338.736000
14.369693	1.403038	0.333245	339.236000
14.393327	1.389131	0.333887	339.736000
14.415906	1.375603	0.334371	340.236000
14.437930	1.361938	0.334983	340.736000
14.460616	1.348227	0.335636	341.236000
14.483093	1.333660	0.336358	341.736000
14.506073	1.319650	0.337085	342.236000
14.527481	1.306698	0.337633	342.736000
14.550821	1.292736	0.337999	343.236000
14.573938	1.277784	0.338691	343.736000
14.597416	1.262919	0.339421	344.236000
14.620478	1.248562	0.340007	344.736000
14.642508	1.233194	0.340543	345.236000
14.665068	1.216833	0.341226	345.736000
14.687937	1.200905	0.342015	346.236000
14.712143	1.184667	0.342555	346.737000
14.736281	1.167689	0.343112	347.236000
14.758875	1.150518	0.343958	347.736000
14.779031	1.133146	0.344621	348.236000
14.801169	1.114455	0.344982	348.736000
14.824380	1.095641	0.345727	349.236000
