Data run started at:  Tuesday, October 17, 2017	3:14:31 PM
magnet(A)	lockin1(V)	lockin2(V)	time (sec)
8.674580	0.577852	0.570496	227.601000
8.695869	0.571066	0.572210	228.101000
8.716724	0.563527	0.574010	228.601000
8.737091	0.555410	0.575768	229.101000
8.756738	0.546907	0.577554	229.601000
8.778435	0.538534	0.579319	230.101000
8.800288	0.529234	0.581207	230.601000
8.820613	0.518402	0.583148	231.101000
8.839458	0.507800	0.584932	231.601000
8.859491	0.496595	0.586555	232.101000
8.878820	0.485705	0.588186	232.602000
8.898544	0.474873	0.589827	233.102000
8.918628	0.463765	0.591484	233.601000
8.938565	0.452217	0.593367	234.102000
8.959307	0.440412	0.595216	234.601000
8.980142	0.428481	0.597094	235.101000
9.000385	0.416661	0.598763	235.601000
9.019877	0.404025	0.600325	236.101000
9.039496	0.390653	0.601859	236.601000
9.060324	0.377043	0.603359	237.101000
9.081595	0.363708	0.604749	237.601000
9.101991	0.350404	0.606349	238.101000
9.122354	0.336745	0.607790	238.601000
9.142978	0.322824	0.609110	239.101000
9.163580	0.309514	0.610373	239.601000
9.184386	0.295932	0.611412	240.101000
9.204760	0.282854	0.612263	240.601000
9.226075	0.271070	0.612936	241.101000
9.246726	0.260985	0.613762	241.601000
9.267416	0.252183	0.614440	242.101000
9.290235	0.245718	0.615188	242.602000
9.310482	0.241315	0.615788	243.101000
9.331345	0.239228	0.616359	243.601000
9.352215	0.239774	0.616892	244.102000
9.373327	0.243576	0.617424	244.601000
9.395566	0.249339	0.617894	245.101000
9.416710	0.257161	0.618238	245.601000
9.437337	0.268296	0.618640	246.101000
9.459056	0.282759	0.618945	246.601000
9.480055	0.298786	0.619416	247.101000
9.501727	0.316364	0.620080	247.601000
9.522581	0.335504	0.620880	248.101000
9.544452	0.356820	0.621791	248.602000
9.566680	0.380499	0.622685	249.101000
9.589005	0.404882	0.623630	249.601000
9.609127	0.429446	0.624725	250.101000
9.630366	0.453467	0.625896	250.601000
9.650822	0.477363	0.627153	251.101000
9.674328	0.501939	0.628197	251.601000
9.695887	0.526820	0.629199	252.101000
9.716422	0.550009	0.630229	252.601000
9.737818	0.572067	0.631435	253.102000
9.759531	0.593544	0.632605	253.601000
9.782001	0.615477	0.633812	254.101000
9.803391	0.637053	0.634975	254.601000
9.826172	0.656624	0.636055	255.101000
9.848435	0.674556	0.637139	255.601000
9.870994	0.692442	0.638351	256.102000
9.892519	0.710102	0.639870	256.601000
9.912386	0.727640	0.641496	257.102000
9.933478	0.744243	0.642992	257.601000
9.954664	0.758896	0.644473	258.102000
9.976672	0.772500	0.645920	258.602000
9.996767	0.785597	0.647309	259.101000
10.016998	0.798029	0.648745	259.601000
10.037299	0.809321	0.650117	260.101000
10.058615	0.820014	0.651361	260.601000
10.080475	0.830510	0.652616	261.101000
10.100449	0.839145	0.654106	261.601000
10.121786	0.846413	0.655742	262.101000
10.142955	0.853613	0.657280	262.601000
10.162928	0.859891	0.658792	263.101000
10.183561	0.864390	0.660447	263.602000
10.204477	0.868607	0.662053	264.102000
10.224994	0.872812	0.663671	264.601000
10.246277	0.876287	0.665043	265.101000
10.268093	0.879149	0.666344	265.601000
10.289668	0.880179	0.667831	266.101000
10.310848	0.880828	0.669472	266.601000
10.331252	0.881053	0.671150	267.101000
10.352079	0.879872	0.672620	267.601000
10.372325	0.878274	0.674294	268.101000
10.392154	0.876665	0.675892	268.601000
10.416608	0.874425	0.677429	269.101000
10.436288	0.871430	0.678966	269.601000
10.457690	0.866531	0.680457	270.101000
10.480495	0.861702	0.681875	270.601000
10.499223	0.856813	0.683464	271.101000
10.520522	0.851895	0.685083	271.601000
10.544178	0.846611	0.686793	272.101000
10.566066	0.841380	0.688595	272.601000
10.586704	0.834259	0.690279	273.101000
10.606095	0.827110	0.691962	273.601000
10.627954	0.818796	0.693836	274.101000
10.650150	0.809720	0.695717	274.601000
10.670782	0.800630	0.697515	275.101000
10.690552	0.790619	0.699483	275.601000
10.714725	0.779875	0.701395	276.101000
10.736790	0.769010	0.703375	276.601000
10.760583	0.758942	0.705204	277.101000
10.779442	0.749115	0.706866	277.601000
10.797198	0.738935	0.708584	278.101000
10.816044	0.729604	0.710479	278.602000
10.840367	0.719873	0.712560	279.101000
10.861533	0.709364	0.714629	279.601000
10.880992	0.698671	0.716681	280.101000
10.906110	0.688647	0.718465	280.601000
10.928360	0.678445	0.720433	281.101000
10.947503	0.667537	0.722602	281.601000
10.967544	0.655884	0.724558	282.101000
10.988131	0.643516	0.726372	282.601000
11.008534	0.631040	0.728192	283.101000
11.037575	0.618006	0.730068	283.601000
11.061826	0.605348	0.731747	284.101000
11.074343	0.591856	0.733676	284.601000
11.090152	0.577262	0.735777	285.101000
11.107540	0.563252	0.738082	285.601000
11.131535	0.549233	0.740097	286.101000
11.155974	0.536136	0.741924	286.601000
11.174522	0.522388	0.743829	287.101000
11.196208	0.507874	0.745824	287.601000
11.214814	0.493928	0.747682	288.101000
11.237214	0.480494	0.749383	288.601000
11.257255	0.466087	0.751122	289.101000
11.277359	0.451075	0.752929	289.601000
11.297198	0.436779	0.754500	290.101000
11.317171	0.422517	0.755905	290.601000
11.339379	0.406878	0.757182	291.101000
11.359454	0.390470	0.758511	291.601000
11.377919	0.373132	0.759913	292.101000
11.398972	0.354670	0.761013	292.602000
11.418835	0.335517	0.762021	293.101000
11.440846	0.316855	0.762870	293.602000
11.461834	0.298993	0.763636	294.101000
11.483010	0.282453	0.764132	294.601000
11.503853	0.267657	0.764526	295.101000
11.524009	0.253815	0.764861	295.601000
11.541830	0.241154	0.765231	296.101000
11.563700	0.230628	0.765706	296.601000
11.584890	0.222499	0.765983	297.101000
11.605532	0.217844	0.766086	297.601000
11.626564	0.215536	0.766299	298.101000
11.646575	0.215038	0.766538	298.601000
11.666550	0.216817	0.766673	299.101000
11.689053	0.220566	0.766584	299.601000
11.709531	0.226916	0.766643	300.101000
11.729899	0.236604	0.766877	300.601000
11.750551	0.249123	0.767110	301.101000
11.770871	0.263682	0.767399	301.601000
11.790986	0.280754	0.767709	302.101000
11.812170	0.299463	0.768065	302.601000
11.832283	0.320173	0.768570	303.101000
11.852830	0.342537	0.769392	303.602000
11.873869	0.365684	0.770216	304.101000
11.892734	0.389219	0.770823	304.601000
11.912672	0.414191	0.771415	305.101000
11.934530	0.439550	0.772141	305.601000
11.953948	0.465884	0.772962	306.102000
11.973443	0.492382	0.773876	306.601000
11.992994	0.518829	0.774755	307.101000
12.013801	0.545873	0.775543	307.601000
12.032862	0.573217	0.776541	308.101000
12.052979	0.600402	0.777616	308.601000
12.072166	0.626867	0.778703	309.101000
12.092799	0.652415	0.779700	309.601000
12.112683	0.678074	0.780573	310.101000
12.134449	0.703496	0.781495	310.602000
12.155696	0.726618	0.782645	311.101000
12.177559	0.748738	0.783965	311.601000
12.199350	0.771605	0.785271	312.101000
12.220055	0.794477	0.786348	312.601000
12.241004	0.816498	0.787388	313.101000
12.260394	0.838541	0.788516	313.601000
12.281799	0.861043	0.789777	314.101000
12.303053	0.883542	0.790939	314.601000
12.323955	0.904953	0.792262	315.101000
12.343991	0.925632	0.793592	315.601000
12.364259	0.944805	0.794976	316.101000
12.384923	0.963326	0.796213	316.601000
12.406724	0.981363	0.797411	317.102000
12.427959	0.997456	0.798687	317.601000
12.448577	1.013074	0.799984	318.101000
